 0.944853,0.586246,1.101962,0.428198 
 0.941430,0.588876,1.083363,0.436031 
 0.929616,0.606915,1.126590,0.396867 
 0.969412,0.553551,1.070257,0.456919 
 0.937706,0.590004,1.063549,0.450392 
 0.926746,0.613679,1.100438,0.415144 
 0.946930,0.585870,1.044288,0.485640 
 0.933404,0.599023,1.149662,0.364230 
 0.929553,0.607666,1.120355,0.396867 
 0.917985,0.610673,1.018483,0.509138 
 0.922235,0.610297,1.041324,0.481723 
 0.919169,0.618940,1.068915,0.446475 
 0.913896,0.615182,1.076116,0.458225 
 0.917600,0.617813,1.040636,0.480418 
 0.933226,0.597520,1.107102,0.417755 
 0.910743,0.630214,1.053805,0.471279 
 0.925228,0.612176,1.141025,0.373368 
 0.921227,0.618940,1.152963,0.374674 
 0.927719,0.603533,1.081515,0.437337 
 0.902021,0.632845,1.130152,0.373368 
 0.903807,0.637354,1.148406,0.366841 
 0.896065,0.642991,1.041616,0.489556 
 0.905684,0.635100,1.079340,0.433420 
 0.903328,0.638482,1.036200,0.484334 
 0.904211,0.634724,1.091633,0.432115 
 0.891424,0.647501,1.024134,0.506527 
 0.898263,0.636979,1.181310,0.331593 
 0.884099,0.653890,1.046560,0.475196 
 0.906091,0.632093,1.108614,0.413838 
 0.885672,0.658775,1.124011,0.398172 
 0.888872,0.645622,1.086549,0.429504 
 0.898290,0.645246,1.146826,0.379896 
 0.888233,0.652762,1.100437,0.413838 
 0.894426,0.642240,1.060072,0.469974 
 0.893707,0.646374,1.049470,0.469974 
 0.876495,0.670425,1.081230,0.441253 
 0.925321,0.609921,1.153128,0.373368 
 0.882804,0.658775,1.091513,0.421671 
 0.870384,0.670425,1.188108,0.338120 
 0.875086,0.672679,1.084253,0.428198 
 0.878627,0.664036,1.068255,0.463446 
 0.876800,0.660278,1.101107,0.422977 
 0.859497,0.682450,1.072743,0.434726 
 0.876786,0.664788,1.142789,0.395561 
 0.876640,0.665915,1.117468,0.408616 
 0.876415,0.667042,1.166973,0.348564 
 0.871788,0.668546,1.202450,0.336815 
 0.872926,0.666291,1.083723,0.443864 
 0.864770,0.676813,1.080129,0.442559 
 0.867621,0.672304,1.162250,0.356397 
